interior_point_count,grid_spacing_m,maximum_energy_relative_error,maximum_delta_x_relative_error,maximum_p_squared_relative_error,maximum_delta_p_relative_error,maximum_uncertainty_relative_error,maximum_normalization_error,maximum_p_mean_scale_ratio,minimum_uncertainty_product_over_hbar,minimum_eigenvector_overlap,minimum_delta_p_convergence_order,maximum_delta_p_convergence_order,minimum_uncertainty_product_convergence_order,maximum_uncertainty_product_convergence_order
100,9.900990099009901e-12,0.008036654428437328,1.9382149316100077e-06,0.00803665442843381,0.0040264332967636001,0.0040283637076023665,1.1102230246251565e-15,4.7150143812402754e-17,0.56783888893978007,0.99999999999999967,1.9996101962567767,1.999996125233797,1.999764542963836,2.000382748584955
200,4.9751243781094527e-12,0.0020341020955249854,1.2214630300991637e-07,0.0020341020955135314,0.0010175687708585614,0.0010176907928693623,6.6613381477509392e-16,4.7384721642315202e-17,0.56785602650345512,0.99999999999999922,1.9996101962567767,1.999996125233797,1.999764542963836,2.000382748584955
400,2.4937655860349129e-12,0.00051137665890785429,7.6881804818796164e-09,0.00051137665889179065,0.00025572102606758498,0.00025572871228210807,1.5543122344752192e-15,2.3751444015225328e-17,0.56786035602369178,0.99999999999999856,1.9996101962567767,1.999996125233797,1.999764542963836,2.000382748584955
800,1.2484394506866419e-12,0.00012818322630658204,4.8257446396642961e-10,0.00012818322630808222,6.4093667153067177e-05,6.4094149696873373e-05,1.5543122344752192e-15,4.7562192509889422e-17,0.56786144440930975,0.99999999999999922,1.9996101962567767,1.999996125233797,1.999764542963836,2.000382748584955
1600,6.2460961898813248e-13,3.2087085080021722e-05,3.0150586113880478e-11,3.208708474869767e-05,1.6043671074130403e-05,1.6043701224546404e-05,1.5543122344752192e-15,2.3795950156415632e-17,0.56786171727986001,0.99999999999999767,1.9996101962567767,1.999996125233797,1.999764542963836,2.000382748584955
