phase_index,phase_rad,phase_deg,time_fraction,time_fs,expected_position_over_width,left_half_probability,normalization
0,0.0,0.0,0.0,0.0,0.31987345130251066,0.9244131815783876,0.9999999999999984
1,0.39269908169872414,22.5,0.0625,0.2291298740601672,0.333584768396492,0.8921066517882685,1.0000000000000009
2,0.7853981633974483,45.0,0.125,0.4582597481203344,0.37263129594427635,0.8001054387190354,0.9999999999999981
3,1.1780972450961724,67.5,0.1875,0.6873896221805016,0.4310685540843673,0.6624158930674054,0.9999999999999981
4,1.5707963267948966,90.0,0.25,0.9165194962406688,0.5,0.5,0.9999999999999991
5,1.9634954084936207,112.5,0.3125,1.145649370300836,0.5689314459156327,0.33758410693259455,1.000000000000001
6,2.356194490192345,135.0,0.375,1.3747792443610032,0.6273687040557236,0.19989456128096467,0.9999999999999999
7,2.748893571891069,157.5,0.4375,1.6039091184211702,0.666415231603508,0.10789334821173141,1.0000000000000004
8,3.141592653589793,180.0,0.5,1.8330389924813375,0.6801265486974893,0.07558681842161241,1.0000000000000007
9,3.5342917352885173,202.5,0.5625,2.0621688665415046,0.666415231603508,0.10789334821173141,1.0000000000000007
10,3.9269908169872414,225.0,0.625,2.291298740601672,0.6273687040557236,0.19989456128096456,0.9999999999999999
11,4.319689898685965,247.49999999999997,0.6874999999999999,2.520428614661839,0.5689314459156328,0.33758410693259433,1.000000000000001
12,4.71238898038469,270.0,0.75,2.7495584887220064,0.5,0.49999999999999994,0.9999999999999991
13,5.105088062083414,292.5,0.8125000000000001,2.978688362782174,0.43106855408436723,0.6624158930674056,0.9999999999999981
14,5.497787143782138,315.0,0.875,3.2078182368423405,0.3726312959442764,0.8001054387190353,0.9999999999999982
15,5.890486225480862,337.5,0.9374999999999999,3.4369481109025077,0.33358476839649204,0.8921066517882685,1.0000000000000013
16,6.283185307179586,360.0,1.0,3.666077984962675,0.31987345130251066,0.9244131815783876,0.9999999999999984
