n,l,m,family,atomic_number,mass_number,label,energy_ev,effective_bohr_radius_angstrom,reduced_mass_ratio,radial_nodes,angular_nodes,degeneracy,parity,orientation
5,3,3,F,1,1,5f (m=+3),-0.5439293362138341,0.52946750653002783,0.99945172086587464,1,3,7,-1,real cosine tesseral m=3
5,4,-4,G,1,1,5g (m=-4),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real sine tesseral |m|=4
5,4,-3,G,1,1,5g (m=-3),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real sine tesseral |m|=3
5,4,-2,G,1,1,5g (m=-2),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real sine tesseral |m|=2
5,4,-1,G,1,1,5g (m=-1),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real sine tesseral |m|=1
5,4,0,G,1,1,5g (m=+0),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,axial tesseral l=4
5,4,1,G,1,1,5g (m=+1),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real cosine tesseral m=1
5,4,2,G,1,1,5g (m=+2),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real cosine tesseral m=2
5,4,3,G,1,1,5g (m=+3),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real cosine tesseral m=3
5,4,4,G,1,1,5g (m=+4),-0.5439293362138341,0.52946750653002783,0.99945172086587464,0,4,9,1,real cosine tesseral m=4
6,0,0,S,1,1,6s (m=+0),-0.37772870570405143,0.52946750653002783,0.99945172086587464,5,0,1,1,spherical
6,1,-1,P,1,1,6p (m=-1),-0.37772870570405143,0.52946750653002783,0.99945172086587464,4,1,3,-1,p_y
6,1,0,P,1,1,6p (m=+0),-0.37772870570405143,0.52946750653002783,0.99945172086587464,4,1,3,-1,p_z
6,1,1,P,1,1,6p (m=+1),-0.37772870570405143,0.52946750653002783,0.99945172086587464,4,1,3,-1,p_x
6,2,-2,D,1,1,6d (m=-2),-0.37772870570405143,0.52946750653002783,0.99945172086587464,3,2,5,1,d_xy
6,2,-1,D,1,1,6d (m=-1),-0.37772870570405143,0.52946750653002783,0.99945172086587464,3,2,5,1,d_yz
6,2,0,D,1,1,6d (m=+0),-0.37772870570405143,0.52946750653002783,0.99945172086587464,3,2,5,1,d_z2
6,2,1,D,1,1,6d (m=+1),-0.37772870570405143,0.52946750653002783,0.99945172086587464,3,2,5,1,d_xz
6,2,2,D,1,1,6d (m=+2),-0.37772870570405143,0.52946750653002783,0.99945172086587464,3,2,5,1,d_x2-y2
6,3,-3,F,1,1,6f (m=-3),-0.37772870570405143,0.52946750653002783,0.99945172086587464,2,3,7,-1,real sine tesseral |m|=3
6,3,-2,F,1,1,6f (m=-2),-0.37772870570405143,0.52946750653002783,0.99945172086587464,2,3,7,-1,real sine tesseral |m|=2
6,3,-1,F,1,1,6f (m=-1),-0.37772870570405143,0.52946750653002783,0.99945172086587464,2,3,7,-1,real sine tesseral |m|=1
6,3,0,F,1,1,6f (m=+0),-0.37772870570405143,0.52946750653002783,0.99945172086587464,2,3,7,-1,axial tesseral l=3
6,3,1,F,1,1,6f (m=+1),-0.37772870570405143,0.52946750653002783,0.99945172086587464,2,3,7,-1,real cosine tesseral m=1
6,3,2,F,1,1,6f (m=+2),-0.37772870570405143,0.52946750653002783,0.99945172086587464,2,3,7,-1,real cosine tesseral m=2
6,3,3,F,1,1,6f (m=+3),-0.37772870570405143,0.52946750653002783,0.99945172086587464,2,3,7,-1,real cosine tesseral m=3
6,4,-4,G,1,1,6g (m=-4),-0.37772870570405143,0.52946750653002783,0.99945172086587464,1,4,9,1,real sine tesseral |m|=4
6,4,-3,G,1,1,6g (m=-3),-0.37772870570405143,0.52946750653002783,0.99945172086587464,1,4,9,1,real sine tesseral |m|=3
6,4,-2,G,1,1,6g (m=-2),-0.37772870570405143,0.52946750653002783,0.99945172086587464,1,4,9,1,real sine tesseral |m|=2
6,4,-1,G,1,1,6g (m=-1),-0.37772870570405143,0.52946750653002783,0.99945172086587464,1,4,9,1,real sine tesseral |m|=1
6,4,0,G,1,1,6g (m=+0),-0.37772870570405143,0.52946750653002783,0.99945172086587464,1,4,9,1,axial tesseral l=4
6,4,1,G,1,1,6g (m=+1),-0.37772870570405143,0.52946750653002783,0.99945172086587464,1,4,9,1,real cosine tesseral m=1
6,4,2,G,1,1,6g (m=+2),-0.37772870570405143,0.52946750653002783,0.99945172086587464,1,4,9,1,real cosine tesseral m=2
6,4,3,G,1,1,6g (m=+3),-0.37772870570405143,0.52946750653002783,0.99945172086587464,1,4,9,1,real cosine tesseral m=3
6,4,4,G,1,1,6g (m=+4),-0.37772870570405143,0.52946750653002783,0.99945172086587464,1,4,9,1,real cosine tesseral m=4
6,5,-5,H,1,1,6h (m=-5),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,real sine tesseral |m|=5
6,5,-4,H,1,1,6h (m=-4),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,real sine tesseral |m|=4
6,5,-3,H,1,1,6h (m=-3),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,real sine tesseral |m|=3
6,5,-2,H,1,1,6h (m=-2),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,real sine tesseral |m|=2
6,5,-1,H,1,1,6h (m=-1),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,real sine tesseral |m|=1
6,5,0,H,1,1,6h (m=+0),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,axial tesseral l=5
6,5,1,H,1,1,6h (m=+1),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,real cosine tesseral m=1
6,5,2,H,1,1,6h (m=+2),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,real cosine tesseral m=2
6,5,3,H,1,1,6h (m=+3),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,real cosine tesseral m=3
6,5,4,H,1,1,6h (m=+4),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,real cosine tesseral m=4
6,5,5,H,1,1,6h (m=+5),-0.37772870570405143,0.52946750653002783,0.99945172086587464,0,5,11,-1,real cosine tesseral m=5
7,0,0,S,1,1,7s (m=+0),-0.27751496745603776,0.52946750653002783,0.99945172086587464,6,0,1,1,spherical
7,1,-1,P,1,1,7p (m=-1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,5,1,3,-1,p_y
7,1,0,P,1,1,7p (m=+0),-0.27751496745603776,0.52946750653002783,0.99945172086587464,5,1,3,-1,p_z
7,1,1,P,1,1,7p (m=+1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,5,1,3,-1,p_x
7,2,-2,D,1,1,7d (m=-2),-0.27751496745603776,0.52946750653002783,0.99945172086587464,4,2,5,1,d_xy
7,2,-1,D,1,1,7d (m=-1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,4,2,5,1,d_yz
7,2,0,D,1,1,7d (m=+0),-0.27751496745603776,0.52946750653002783,0.99945172086587464,4,2,5,1,d_z2
7,2,1,D,1,1,7d (m=+1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,4,2,5,1,d_xz
7,2,2,D,1,1,7d (m=+2),-0.27751496745603776,0.52946750653002783,0.99945172086587464,4,2,5,1,d_x2-y2
7,3,-3,F,1,1,7f (m=-3),-0.27751496745603776,0.52946750653002783,0.99945172086587464,3,3,7,-1,real sine tesseral |m|=3
7,3,-2,F,1,1,7f (m=-2),-0.27751496745603776,0.52946750653002783,0.99945172086587464,3,3,7,-1,real sine tesseral |m|=2
7,3,-1,F,1,1,7f (m=-1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,3,3,7,-1,real sine tesseral |m|=1
7,3,0,F,1,1,7f (m=+0),-0.27751496745603776,0.52946750653002783,0.99945172086587464,3,3,7,-1,axial tesseral l=3
7,3,1,F,1,1,7f (m=+1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,3,3,7,-1,real cosine tesseral m=1
7,3,2,F,1,1,7f (m=+2),-0.27751496745603776,0.52946750653002783,0.99945172086587464,3,3,7,-1,real cosine tesseral m=2
7,3,3,F,1,1,7f (m=+3),-0.27751496745603776,0.52946750653002783,0.99945172086587464,3,3,7,-1,real cosine tesseral m=3
7,4,-4,G,1,1,7g (m=-4),-0.27751496745603776,0.52946750653002783,0.99945172086587464,2,4,9,1,real sine tesseral |m|=4
7,4,-3,G,1,1,7g (m=-3),-0.27751496745603776,0.52946750653002783,0.99945172086587464,2,4,9,1,real sine tesseral |m|=3
7,4,-2,G,1,1,7g (m=-2),-0.27751496745603776,0.52946750653002783,0.99945172086587464,2,4,9,1,real sine tesseral |m|=2
7,4,-1,G,1,1,7g (m=-1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,2,4,9,1,real sine tesseral |m|=1
7,4,0,G,1,1,7g (m=+0),-0.27751496745603776,0.52946750653002783,0.99945172086587464,2,4,9,1,axial tesseral l=4
7,4,1,G,1,1,7g (m=+1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,2,4,9,1,real cosine tesseral m=1
7,4,2,G,1,1,7g (m=+2),-0.27751496745603776,0.52946750653002783,0.99945172086587464,2,4,9,1,real cosine tesseral m=2
7,4,3,G,1,1,7g (m=+3),-0.27751496745603776,0.52946750653002783,0.99945172086587464,2,4,9,1,real cosine tesseral m=3
7,4,4,G,1,1,7g (m=+4),-0.27751496745603776,0.52946750653002783,0.99945172086587464,2,4,9,1,real cosine tesseral m=4
7,5,-5,H,1,1,7h (m=-5),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,real sine tesseral |m|=5
7,5,-4,H,1,1,7h (m=-4),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,real sine tesseral |m|=4
7,5,-3,H,1,1,7h (m=-3),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,real sine tesseral |m|=3
7,5,-2,H,1,1,7h (m=-2),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,real sine tesseral |m|=2
7,5,-1,H,1,1,7h (m=-1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,real sine tesseral |m|=1
7,5,0,H,1,1,7h (m=+0),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,axial tesseral l=5
7,5,1,H,1,1,7h (m=+1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,real cosine tesseral m=1
7,5,2,H,1,1,7h (m=+2),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,real cosine tesseral m=2
7,5,3,H,1,1,7h (m=+3),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,real cosine tesseral m=3
7,5,4,H,1,1,7h (m=+4),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,real cosine tesseral m=4
7,5,5,H,1,1,7h (m=+5),-0.27751496745603776,0.52946750653002783,0.99945172086587464,1,5,11,-1,real cosine tesseral m=5
7,6,-6,I,1,1,7i (m=-6),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real sine tesseral |m|=6
7,6,-5,I,1,1,7i (m=-5),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real sine tesseral |m|=5
7,6,-4,I,1,1,7i (m=-4),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real sine tesseral |m|=4
7,6,-3,I,1,1,7i (m=-3),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real sine tesseral |m|=3
7,6,-2,I,1,1,7i (m=-2),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real sine tesseral |m|=2
7,6,-1,I,1,1,7i (m=-1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real sine tesseral |m|=1
7,6,0,I,1,1,7i (m=+0),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,axial tesseral l=6
7,6,1,I,1,1,7i (m=+1),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real cosine tesseral m=1
7,6,2,I,1,1,7i (m=+2),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real cosine tesseral m=2
7,6,3,I,1,1,7i (m=+3),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real cosine tesseral m=3
7,6,4,I,1,1,7i (m=+4),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real cosine tesseral m=4
7,6,5,I,1,1,7i (m=+5),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real cosine tesseral m=5
7,6,6,I,1,1,7i (m=+6),-0.27751496745603776,0.52946750653002783,0.99945172086587464,0,6,13,1,real cosine tesseral m=6
8,0,0,S,1,1,8s (m=+0),-0.21247239695852893,0.52946750653002783,0.99945172086587464,7,0,1,1,spherical
8,1,-1,P,1,1,8p (m=-1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,6,1,3,-1,p_y
8,1,0,P,1,1,8p (m=+0),-0.21247239695852893,0.52946750653002783,0.99945172086587464,6,1,3,-1,p_z
8,1,1,P,1,1,8p (m=+1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,6,1,3,-1,p_x
8,2,-2,D,1,1,8d (m=-2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,5,2,5,1,d_xy
8,2,-1,D,1,1,8d (m=-1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,5,2,5,1,d_yz
8,2,0,D,1,1,8d (m=+0),-0.21247239695852893,0.52946750653002783,0.99945172086587464,5,2,5,1,d_z2
8,2,1,D,1,1,8d (m=+1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,5,2,5,1,d_xz
8,2,2,D,1,1,8d (m=+2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,5,2,5,1,d_x2-y2
8,3,-3,F,1,1,8f (m=-3),-0.21247239695852893,0.52946750653002783,0.99945172086587464,4,3,7,-1,real sine tesseral |m|=3
8,3,-2,F,1,1,8f (m=-2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,4,3,7,-1,real sine tesseral |m|=2
8,3,-1,F,1,1,8f (m=-1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,4,3,7,-1,real sine tesseral |m|=1
8,3,0,F,1,1,8f (m=+0),-0.21247239695852893,0.52946750653002783,0.99945172086587464,4,3,7,-1,axial tesseral l=3
8,3,1,F,1,1,8f (m=+1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,4,3,7,-1,real cosine tesseral m=1
8,3,2,F,1,1,8f (m=+2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,4,3,7,-1,real cosine tesseral m=2
8,3,3,F,1,1,8f (m=+3),-0.21247239695852893,0.52946750653002783,0.99945172086587464,4,3,7,-1,real cosine tesseral m=3
8,4,-4,G,1,1,8g (m=-4),-0.21247239695852893,0.52946750653002783,0.99945172086587464,3,4,9,1,real sine tesseral |m|=4
8,4,-3,G,1,1,8g (m=-3),-0.21247239695852893,0.52946750653002783,0.99945172086587464,3,4,9,1,real sine tesseral |m|=3
8,4,-2,G,1,1,8g (m=-2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,3,4,9,1,real sine tesseral |m|=2
8,4,-1,G,1,1,8g (m=-1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,3,4,9,1,real sine tesseral |m|=1
8,4,0,G,1,1,8g (m=+0),-0.21247239695852893,0.52946750653002783,0.99945172086587464,3,4,9,1,axial tesseral l=4
8,4,1,G,1,1,8g (m=+1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,3,4,9,1,real cosine tesseral m=1
8,4,2,G,1,1,8g (m=+2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,3,4,9,1,real cosine tesseral m=2
8,4,3,G,1,1,8g (m=+3),-0.21247239695852893,0.52946750653002783,0.99945172086587464,3,4,9,1,real cosine tesseral m=3
8,4,4,G,1,1,8g (m=+4),-0.21247239695852893,0.52946750653002783,0.99945172086587464,3,4,9,1,real cosine tesseral m=4
8,5,-5,H,1,1,8h (m=-5),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,real sine tesseral |m|=5
8,5,-4,H,1,1,8h (m=-4),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,real sine tesseral |m|=4
8,5,-3,H,1,1,8h (m=-3),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,real sine tesseral |m|=3
8,5,-2,H,1,1,8h (m=-2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,real sine tesseral |m|=2
8,5,-1,H,1,1,8h (m=-1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,real sine tesseral |m|=1
8,5,0,H,1,1,8h (m=+0),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,axial tesseral l=5
8,5,1,H,1,1,8h (m=+1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,real cosine tesseral m=1
8,5,2,H,1,1,8h (m=+2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,real cosine tesseral m=2
8,5,3,H,1,1,8h (m=+3),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,real cosine tesseral m=3
8,5,4,H,1,1,8h (m=+4),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,real cosine tesseral m=4
8,5,5,H,1,1,8h (m=+5),-0.21247239695852893,0.52946750653002783,0.99945172086587464,2,5,11,-1,real cosine tesseral m=5
8,6,-6,I,1,1,8i (m=-6),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real sine tesseral |m|=6
8,6,-5,I,1,1,8i (m=-5),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real sine tesseral |m|=5
8,6,-4,I,1,1,8i (m=-4),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real sine tesseral |m|=4
8,6,-3,I,1,1,8i (m=-3),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real sine tesseral |m|=3
8,6,-2,I,1,1,8i (m=-2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real sine tesseral |m|=2
8,6,-1,I,1,1,8i (m=-1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real sine tesseral |m|=1
8,6,0,I,1,1,8i (m=+0),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,axial tesseral l=6
8,6,1,I,1,1,8i (m=+1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real cosine tesseral m=1
8,6,2,I,1,1,8i (m=+2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real cosine tesseral m=2
8,6,3,I,1,1,8i (m=+3),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real cosine tesseral m=3
8,6,4,I,1,1,8i (m=+4),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real cosine tesseral m=4
8,6,5,I,1,1,8i (m=+5),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real cosine tesseral m=5
8,6,6,I,1,1,8i (m=+6),-0.21247239695852893,0.52946750653002783,0.99945172086587464,1,6,13,1,real cosine tesseral m=6
8,7,-7,K,1,1,8k (m=-7),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real sine tesseral |m|=7
8,7,-6,K,1,1,8k (m=-6),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real sine tesseral |m|=6
8,7,-5,K,1,1,8k (m=-5),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real sine tesseral |m|=5
8,7,-4,K,1,1,8k (m=-4),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real sine tesseral |m|=4
8,7,-3,K,1,1,8k (m=-3),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real sine tesseral |m|=3
8,7,-2,K,1,1,8k (m=-2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real sine tesseral |m|=2
8,7,-1,K,1,1,8k (m=-1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real sine tesseral |m|=1
8,7,0,K,1,1,8k (m=+0),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,axial tesseral l=7
8,7,1,K,1,1,8k (m=+1),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real cosine tesseral m=1
8,7,2,K,1,1,8k (m=+2),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real cosine tesseral m=2
8,7,3,K,1,1,8k (m=+3),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real cosine tesseral m=3
8,7,4,K,1,1,8k (m=+4),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real cosine tesseral m=4
8,7,5,K,1,1,8k (m=+5),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real cosine tesseral m=5
8,7,6,K,1,1,8k (m=+6),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real cosine tesseral m=6
8,7,7,K,1,1,8k (m=+7),-0.21247239695852893,0.52946750653002783,0.99945172086587464,0,7,15,-1,real cosine tesseral m=7
