summary_id,factor_name,factor_value,run_count,diffusion_coefficient_nm2_per_ps,diffusion_ci_low_nm2_per_ps,diffusion_ci_high_nm2_per_ps,msd_fit_slope_nm2_per_ps,msd_fit_intercept_nm2,msd_fit_r_squared,final_mean_x_nm,final_mean_x_ci_low_nm,final_mean_x_ci_high_nm,final_mean_y_nm,final_mean_y_ci_low_nm,final_mean_y_ci_high_nm,final_rms_displacement_nm,final_spread_difference_nm2,final_spread_difference_ci_low_nm2,final_spread_difference_ci_high_nm2,final_variance_ratio_x_to_y,mean_impulses_per_ps,mean_contacts_per_ps,mean_large_wall_impacts,maximum_displacement_nm,worst_normalized_collision_error,maximum_residual_penetration_nm
baseline_64,baseline,1.0,64,0.0022524125758681944,0.0015592849320960045,0.00300961095261543,0.009009650303472777,0.08763332948501357,0.9832392581647977,-0.2054903283569077,-0.432063901439348,0.02108324472553258,0.09123175414759493,-0.13424858384791094,0.3167120921431008,1.289383809003655,0.0416996436938967,-0.35297146580722294,0.4363707531950164,1.0097204515168492,18.986171875,22.550078125,0.0,0.006665866562883612,2.4609652146788605e-15,0.0
baseline_comparison_12,baseline,1.0,12,0.0018716739151423507,0.0005197592951637089,0.003668080278134739,0.007486695660569403,0.27426639007226233,0.8225708269806966,-0.21716529165811246,-0.7278588600513882,0.29352827673516324,0.13471471178821534,-0.3451280646169411,0.6145574881933717,1.0864385050264842,0.09840243899101943,-0.4652987847552148,0.6621036627372536,1.132720744828984,19.015,22.581666666666663,0.0,0.006270867348856922,2.4609652146788605e-15,0.0
time_step_baseline_64,time_step_factor,1.0,64,0.0022524125758681944,0.0015531943592604052,0.0030070110874481863,0.009009650303472777,0.08763332948501357,0.9832392581647977,-0.2054903283569077,-0.432063901439348,0.02108324472553258,0.09123175414759493,-0.13424858384791094,0.3167120921431008,1.289383809003655,0.0416996436938967,-0.35297146580722294,0.4363707531950164,1.0097204515168492,18.986171875,22.550078125,0.0,0.006665866562883612,2.4609652146788605e-15,0.0
time_step_half_64,time_step_factor,2.0,64,0.0021244921263232457,0.0015450559828285293,0.002738449379165133,0.008497968505292984,0.06945884652170498,0.9665186468050191,-0.037880981193165436,-0.29458537432234644,0.21882341193601554,-0.03400430366898351,-0.25495272278982656,0.18694411545185952,1.3462392069101736,0.26971894449288825,-0.17060227515145826,0.7100401641372347,1.3498478061709946,18.943046875,20.7475,0.0,0.0033603110789534115,2.544486840594304e-15,0.0
independent_seed_half_a,seed_half,1.0,32,0.0017253918514819314,0.000827632062631553,0.002886085467649032,0.006901567405927726,0.17892556951452476,0.8811856943115131,-0.26527575015559013,-0.518799947231567,-0.01175155307961323,0.17539915321345098,-0.13777070910353564,0.48856901553043763,1.1450182796899395,-0.21229823729729771,-0.5853775911294852,0.16078111653488977,0.655358458611618,18.9165625,22.425,0.0,0.006665866562883612,2.4609652146788605e-15,0.0
independent_seed_half_b,seed_half,2.0,32,0.002779433300254457,0.0018332288685235008,0.0038650372497027858,0.011117733201017827,-0.003658910544497407,0.9773394523430581,-0.14570490655822527,-0.5357141337416484,0.24430432062519797,0.007064355081738888,-0.33245313635105567,0.3465818465145335,1.4191385954223916,0.29569752468509114,-0.4135036743682483,1.0048987237384306,1.3195488038749088,19.05578125,22.67515625,0.0,0.006572782823605038,2.4475050932209407e-15,0.0
particle_count_250,particle_count,250.0,12,0.01915712860614757,0.01123768961784167,0.027470900609655572,0.07662851442459027,-0.11919518749765601,0.8978869809831052,-0.2618687638537153,-0.977506995052482,0.45376946734505136,0.611276459822428,-0.586602358697666,1.809155278342522,2.2053097922155076,-2.400423894506656,-5.4158005184862255,0.6149527294729134,0.3569121201173466,4.755833333333333,5.0129166666666665,3.6666666666666665,0.006231036409001459,2.0158230969177874e-15,0.0
particle_count_500,particle_count,500.0,12,0.0032570418418846198,0.0008632751435003415,0.006309449536812446,0.013028167367538476,0.11747937913390649,0.8515729586260349,-0.08012830197907277,-0.8260246871697374,0.665768083211592,-0.28385656041516266,-0.9554538235341388,0.3877407027038135,1.5409416512334726,0.16499207435120103,-0.9865035695530089,1.3164877182554109,1.2335000448683575,9.55625,10.478333333333332,0.0,0.006572272887163463,1.986117403870165e-15,0.0
particle_count_1000,particle_count,1000.0,12,0.0018716739151423507,0.0005197592951637089,0.003668080278134739,0.007486695660569403,0.27426639007226233,0.8225708269806966,-0.21716529165811246,-0.7278588600513882,0.29352827673516324,0.13471471178821534,-0.3451280646169411,0.6145574881933717,1.0864385050264842,0.09840243899101943,-0.4652987847552148,0.6621036627372536,1.132720744828984,19.015,22.581666666666663,0.0,0.006270867348856922,2.4609652146788605e-15,0.0
mass_ratio_5,mass_ratio,5.0,12,0.0013687643803583652,0.0006113476545128532,0.002131986631963262,0.005475057521433461,0.30853424856956163,0.850245644802398,-0.11747314486906239,-0.7507573144250868,0.515811024686962,0.052331762404247674,-0.5086254328512869,0.6132889576597822,1.2812974669567183,0.2071944132297011,-0.48261162749091235,0.8970004539503146,1.2744940665028466,20.20958333333333,25.269166666666663,0.0,0.006836588347193621,2.695641913190154e-15,0.0
