time_ps,mean_x_nm,mean_x_ci_low_nm,mean_x_ci_high_nm,mean_y_nm,mean_y_ci_low_nm,mean_y_ci_high_nm,msd_nm2,msd_ci_low_nm2,msd_ci_high_nm2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1016633249555223,0.00023839788111591764,-0.0006879934598560757,0.0011647892220879108,0.0008423479812166151,-0.00015758851912507491,0.0018422844815583052,3.0079671907017757e-05,1.9781695625037196e-05,4.037764818899832e-05
0.19767868741351557,0.00010115825252371424,-0.0023394731728201834,0.002541789677867612,0.0016805726579334351,-0.0008047296728464254,0.004165874988713295,0.00019425327541031784,0.0001369910246221054,0.0002515155261985303
0.2993420123690379,0.0010234863067589417,-0.0026870777621898893,0.004734050375707772,0.0021859259249591284,-0.002196185719918719,0.006568037569836976,0.0005259848338740299,0.0003768495029370611,0.0006751201648109987
0.4010053373245602,0.0007532659925465202,-0.004162139586821883,0.0056686715719149235,0.0035786694552017995,-0.002679187544800255,0.009836526455203854,0.001012352642399983,0.000719014313967686,0.00130569097083228
0.5026686622800824,0.0010581505648597916,-0.005166583417296065,0.007282884547015648,0.004272444803128328,-0.0037819958324721813,0.012326885438728837,0.0016541210376956644,0.0012117103971175784,0.0020965316782737505
0.5986840247380758,0.0019075618172015307,-0.005752525466056343,0.009567649100459406,0.004021416170003511,-0.005463654599126438,0.01350648693913346,0.0023648356337810936,0.0017222246532377283,0.003007446614324459
0.700347349693598,0.0022122753801532974,-0.006882083501233307,0.011306634261539902,0.0032990295462511365,-0.007769165988988374,0.014367225081490647,0.00325324193856952,0.0023805442232390124,0.004125939653900027
0.8020106746491203,0.0014569105585516967,-0.00895392917391882,0.011867750291022213,0.002628947228140846,-0.01010421652227001,0.015362110978551701,0.0042767880980289176,0.0031141555985768382,0.005439420597480997
0.8980260371071136,7.305325730225243e-05,-0.011473940667103371,0.011620047181707876,0.001953404971769296,-0.012387780556438046,0.016294590499976638,0.005351984564590136,0.0038828958209071282,0.0068210733082731435
0.9996893620626359,-0.000727499925991304,-0.013358891620916144,0.011903891768933536,0.0020781984837389272,-0.014023008919000556,0.01817940588647841,0.00661192251702281,0.004765607993084125,0.008458237040961495
1.1013526870181582,-0.0014276868645484442,-0.01479585299479868,0.01194047926570179,0.0023047605766927243,-0.015107507963191477,0.019717029116576926,0.007609806572167195,0.0054334238943207405,0.00978618925001365
1.1973680494761516,-0.0026111977224975713,-0.016303681412480963,0.01108128596748582,0.002244650976938642,-0.016446637144637958,0.020935939098515242,0.00848126729696234,0.005944371951061235,0.011018162642863446
1.2990313744316737,-0.0046436003044565966,-0.01891599422529122,0.009628793616378029,0.002350300992485635,-0.017951546661926845,0.022652148646898115,0.009743096936044377,0.006726198573023326,0.012759995299065428
1.400694699387196,-0.006861924040249975,-0.022064950801970833,0.008341102721470883,0.002429310267768464,-0.01958288687365254,0.024441507409189468,0.011343500222598174,0.0077564643644733285,0.01493053608072302
1.5023580243427184,-0.007428040909444225,-0.023755902296057643,0.008899820477169192,0.0022822492626087126,-0.02114454462042432,0.025709043145641746,0.012924489265405653,0.008749253816506226,0.01709972471430508
1.5983733868007117,-0.008692843366876313,-0.02600627110979776,0.008620584376045133,0.0027961394442196363,-0.021834240027886812,0.027426518916326085,0.014383067170398892,0.009718329975258871,0.019047804365538913
1.700036711756234,-0.009979447908652794,-0.028122191811343955,0.008163295994038366,0.003915460433345522,-0.022049726207221114,0.029880647073912157,0.015943940558856697,0.010826102929471677,0.021061778188241717
1.8017000367117564,-0.010266565603746058,-0.02939316006458545,0.008860028857093333,0.00478053135892044,-0.02270849942204355,0.032269562139884425,0.017820810216508824,0.012147166649234091,0.023494453783783557
1.8977153991697495,-0.009709828395228881,-0.029720933995808076,0.010301277205350314,0.004319890483831634,-0.024598421098556273,0.03323820206621954,0.01962353699271492,0.013511873230326996,0.025735200755102848
1.9993787241252718,-0.008390222905636888,-0.029263863197705672,0.012483417386431897,0.003180086965948986,-0.027376780067541562,0.03373695399943953,0.021684883426695337,0.015096652739553709,0.028273114113836966
2.101042049080794,-0.007931536977352646,-0.02968974347590769,0.013826669521202397,0.0025252179438916694,-0.029279184345273705,0.034329620233057044,0.023495943409581103,0.01640752305468588,0.030584363764476326
2.2027053740363165,-0.006269657347104746,-0.02906267775884158,0.016523363064632087,0.0013581279205366892,-0.031375562482244,0.034091818323317376,0.025141294655402314,0.017664720104062545,0.03261786920674208
2.29872073649431,-0.004927262891234324,-0.02860737648303491,0.018752850700566263,-0.00042396420859971973,-0.03388425449105377,0.03303632607385433,0.026533766672754037,0.018781094395289903,0.03428643895021817
2.400384061449832,-0.004136763981235539,-0.028536854903427424,0.020263326940956346,-0.002728983774455601,-0.036826329651549486,0.031368362102638284,0.027758961702749597,0.019750050474366957,0.03576787293113223
2.5020473864053545,-0.004654729433711868,-0.02973078189063857,0.020421323023214834,-0.003511627445668311,-0.038398484798853987,0.031375229907517364,0.02915524771966148,0.020741322565578806,0.03756917287374415
2.5980627488633474,-0.005336345035250184,-0.03133269335458984,0.020660003284089467,-0.0034901378032658886,-0.03921069677322056,0.03223042116668878,0.030832086739480714,0.021857366142244407,0.03980680733671702
2.6997260738188698,-0.004463394498134654,-0.031518774746022854,0.022591985749753546,-0.003913854181983395,-0.04055376179669241,0.03272605343272562,0.032762530939755494,0.02329755783072708,0.042227504048783907
2.801389398774392,-0.003376585016760081,-0.03099967216511221,0.02424650213159205,-0.003163219340663631,-0.04071640384061803,0.03438996515929077,0.03430738640595298,0.024611526585583684,0.044003246226322276
2.8974047612323854,-0.0023446054785720566,-0.030640232585606508,0.025951021628462394,-0.0026903942468856357,-0.04102488774197971,0.03564409924820844,0.03582741417828408,0.025814038970040316,0.04584078938652784
2.9990680861879078,-0.001748699626159797,-0.03060616683724574,0.027108767584926145,-0.0013416507961370588,-0.04066757516533686,0.03798427357306274,0.03754080887604627,0.027273816221633364,0.04780780153045918
3.10073141114343,-0.0010958322956063499,-0.030561631336761534,0.028369966745548834,-0.0009183445228803794,-0.04085019426704825,0.03901350522128749,0.038855371410655086,0.028464981853140357,0.049245760968169815
3.2023947360989524,-0.0009113284441553682,-0.03093045556898735,0.029107798680676613,-0.0007139009141013813,-0.040982198144122094,0.03955439631591933,0.03979962548062949,0.02930981432569177,0.05028943663556722
3.298410098556946,-3.658431915064264e-05,-0.030874325146602634,0.03080115650830135,-0.0008565621619185393,-0.04128445514043434,0.039571330816597264,0.040788139363107295,0.030109392676163572,0.05146688605005102
3.400073423512468,0.0008168563224757591,-0.030785615526074776,0.032419328171026295,-0.001027296632457153,-0.04182726957505747,0.03977267631014316,0.04201924575886789,0.030824445411652624,0.05321404610608316
3.5017367484679904,0.0017558542886849243,-0.030381565456670034,0.03389327403403988,-0.0018749342157154542,-0.04319452944807039,0.03944466101663948,0.043235237224222914,0.031630010882302204,0.054840463566143624
3.5977521109259833,0.0027434136194925546,-0.03000498362289502,0.03549181086188013,-0.002533862424180841,-0.04440558887554507,0.03933786402718339,0.044592651770207846,0.0328811961470126,0.056304107393403094
3.6994154358815057,0.003492501699288747,-0.029853361429638535,0.03683836482821603,-0.0035093641637851947,-0.04602627254575179,0.0390075442181814,0.04608515402666222,0.03405503059497818,0.05811527745834626
3.801078760837028,0.005174978928475446,-0.028573022237915628,0.03892298009486652,-0.0039168482409494415,-0.04694295574140137,0.03910925925950249,0.047215604791675726,0.034945982633451736,0.05948522694989972
3.9027420857925503,0.00496342762455089,-0.029204766446068516,0.039131621695170295,-0.0026804623184687043,-0.04643156418395731,0.0410706395470199,0.04864804789211316,0.036222384212482514,0.06107371157174381
3.9987574482505437,0.0037850043135476408,-0.030813424636231525,0.038383433263326806,-0.002181197206442248,-0.046349583565473834,0.04198718915258934,0.04968084909681892,0.03696848644528967,0.06239321174834817
4.100420773206066,0.002363960082105085,-0.03275711210211024,0.03748503226632041,-0.0021879698395727842,-0.04684550165368113,0.04246956197453556,0.05093245501845564,0.03780919844538635,0.06405571159152493
4.202084098161588,0.0006990463918431222,-0.0348766273493386,0.036274720133024844,-0.004130039733732188,-0.04934071447282282,0.04108063500535845,0.05223088610765198,0.03913072797792646,0.06533104423737751
4.298099460619581,-0.0017055546849298886,-0.03776480072270041,0.03435369135284063,-0.006023097151941367,-0.051897665682907844,0.03985147137902511,0.05375302335267634,0.04061281141204811,0.06689323529330457
4.399762785575104,-0.00461342200924908,-0.04115657496584769,0.03192973094734953,-0.0080286118482394,-0.054139991268869744,0.038082767572390944,0.05469749666398032,0.041619107781864326,0.06777588554609631
4.501426110530626,-0.007211825643983441,-0.044083056224600896,0.029659404936634014,-0.009002305985124137,-0.05531209095863867,0.037307478988390395,0.05541407068793232,0.04238263864603597,0.06844550272982866
4.59744147298862,-0.008653123591833636,-0.046091400260309945,0.028785153076642672,-0.009498423364150993,-0.05614153343264587,0.037144686704343885,0.0565996758857023,0.043396679960577396,0.06980267181082721
4.699104797944142,-0.010023116289656811,-0.048360146178820805,0.028313913599507183,-0.01013492665430149,-0.05698661816272025,0.03671676485411727,0.05801982356913338,0.04449707123169474,0.07154257590657201
4.800768122899664,-0.010760688731592985,-0.0497787204461861,0.02825734298300013,-0.010449166871800752,-0.05749742676997032,0.036599093026368816,0.059163886090122006,0.04522871473025921,0.0730990574499848
