energy_index,angle_index,incident_energy_kev,theta_deg,scattered_to_incident_energy_ratio,differential_cross_section_m2_sr,differential_cross_section_barn_sr,relative_differential_cross_section,theta_density_m2_rad,theta_pdf_rad_inv,total_cross_section_m2,total_cross_section_barn
0,0,50,0,1,7.9407876498996423e-30,0.07940787649899643,1,0,0,5.6150694370643376e-29,0.56150694370643373
0,1,50,0.25,0.99999906856262744,7.9406972671425783e-30,0.079406972671425782,0.99998861791033222,2.1769803337543529e-31,0.0038770319016616091,5.6150694370643376e-29,0.56150694370643373
0,2,50,0.5,0.99999627427865423,7.9404261268885721e-30,0.079404261268885723,0.99995447265094983,4.3537705535479254e-31,0.0077537252252113864,5.6150694370643376e-29,0.56150694370643373
0,3,50,0.75,0.99999161723251051,7.9399742531882032e-30,0.079399742531882034,0.99989756725059264,6.5301805776218883e-31,0.01162974144988666,5.6150694370643376e-29,0.56150694370643373
0,4,50,1,0.99998509756490805,7.9393416861225832e-30,0.079393416861225835,0.99981790675675886,8.7060203886143095e-31,0.015504742169610602,5.6150694370643376e-29,0.56150694370643373
0,5,50,1.25,0.99997671547283207,7.9385284817985688e-30,0.079385284817985693,0.99971549823510242,1.0881100065741131e-30,0.019378389150304029,5.6150694370643376e-29,0.56150694370643373
0,6,50,1.5,0.99996647120952986,7.9375347123420697e-30,0.079375347123420703,0.99959035076858982,1.3055229816956151e-30,0.023250344387159828,5.6150694370643376e-29,0.56150694370643373
0,7,50,1.75,0.99995436508449642,7.936360465889447e-30,0.079363604658894471,0.99944247545641751,1.5228220011083094e-30,0.02712027016186765,5.6150694370643376e-29,0.56150694370643373
0,8,50,2,0.9999403974634562,7.9350058465769754e-30,0.079350058465769757,0.99927188541268452,1.7399881209912674e-30,0.030987829099776289,5.6150694370643376e-29,0.56150694370643373
0,9,50,2.25,0.99992456876834213,7.9334709745284337e-30,0.079334709745284338,0.99907859576482927,1.9570024200257819e-30,0.034852684226981512,5.6150694370643376e-29,0.56150694370643373
0,10,50,2.5,0.99990687947727186,7.9317559858407748e-30,0.079317559858407743,0.9988626236518261,2.1738460025960049e-30,0.038714499027326932,5.6150694370643376e-29,0.56150694370643373
0,11,50,2.75,0.99988733012452002,7.9298610325678847e-30,0.07929861032567885,0.99862398822213871,2.3905000019839996e-30,0.042572937499305394,5.6150694370643376e-29,0.56150694370643373
0,12,50,3,0.99986592130048679,7.9277862827024357e-30,0.079277862827024356,0.99836271063143578,2.6069455835585257e-30,0.046427664212848725,5.6150694370643376e-29,0.56150694370643373
0,13,50,3.25,0.99984265365166514,7.9255319201558733e-30,0.079255319201558733,0.99807881404007048,2.8231639479568582e-30,0.05027834436599346,5.6150694370643376e-29,0.56150694370643373
0,14,50,3.5,0.99981752788060296,7.9230981447364825e-30,0.079230981447364832,0.99777232361031798,3.0391363342589607e-30,0.0541246438414104,5.6150694370643376e-29,0.56150694370643373
0,15,50,3.75,0.99979054474586293,7.9204851721255593e-30,0.07920485172125559,0.99744326650337523,3.2548440231533047e-30,0.05796622926278535,5.6150694370643376e-29,0.56150694370643373
0,16,50,4,0.99976170506197837,7.9176932338516966e-30,0.07917693233851697,0.99709167187612202,3.4702683400936715e-30,0.061802768051039313,5.6150694370643376e-29,0.56150694370643373
0,17,50,4.25,0.99973100969940765,7.9147225772632319e-30,0.079147225772632321,0.99671757087765223,3.6853906584462601e-30,0.065633928480376025,5.6150694370643376e-29,0.56150694370643373
0,18,50,4.5,0.99969845958448311,7.9115734654987416e-30,0.079115734654987419,0.99632099664555696,3.9001924026263779e-30,0.069459379734143956,5.6150694370643376e-29,0.56150694370643373
0,19,50,4.75,0.99966405569935823,7.9082461774557121e-30,0.07908246177455712,0.99590198430198018,4.1146550512240875e-30,0.07327879196050166,5.6150694370643376e-29,0.56150694370643373
0,20,50,5,0.9996277990819511,7.9047410077573403e-30,0.079047410077573405,0.99546057094943752,4.328760140118112e-30,0.077091836327873947,5.6150694370643376e-29,0.56150694370643373
0,21,50,5.25,0.99958969082588522,7.9010582667174506e-30,0.079010582667174506,0.99499679566639798,4.5424892655773157e-30,0.080898185080186882,5.6150694370643376e-29,0.56150694370643373
0,22,50,5.5,0.99954973208042719,7.8971982803035921e-30,0.078971982803035926,0.99451069950263671,4.7558240873491341e-30,0.084697511591870306,5.6150694370643376e-29,0.56150694370643373
0,23,50,5.75,0.99950792405041922,7.8931613900982246e-30,0.078931613900982245,0.99400232547434764,4.9687463317342141e-30,0.088489490422614739,5.6150694370643376e-29,0.56150694370643373
0,24,50,6,0.9994642679962118,7.8889479532581225e-30,0.078889479532581228,0.99347171855903049,5.1812377946466926e-30,0.092273797371872565,5.6150694370643376e-29,0.56150694370643373
0,25,50,6.25,0.99941876523359063,7.8845583424719177e-30,0.078845583424719173,0.99291892569014417,5.3932803446593939e-30,0.096050109533090663,5.6150694370643376e-29,0.56150694370643373
0,26,50,6.5,0.99937141713370137,7.8799929459157949e-30,0.078799929459157952,0.99234399575152776,5.6048559260333031e-30,0.099818105347662903,5.6150694370643376e-29,0.56150694370643373
