energy_index,angle_index,incident_energy_kev,theta_deg,alpha,incident_wavelength_m,wavelength_shift_m,fractional_wavelength_shift,scattered_wavelength_m,scattered_energy_kev,electron_kinetic_energy_kev,electron_gamma,electron_beta,electron_speed_m_s,electron_pc_kev,electron_recoil_angle_deg,electron_recoil_direction_defined
0,0,50,0,0.097847559045500285,2.4796839686640053e-11,0,0,2.4796839686640053e-11,50,0,1,0,0,0,90,false
0,1,50,0.25,0.097847559045500285,2.4796839686640053e-11,2.30967247153578e-17,9.3143824000288902e-07,2.4796862783364767e-11,49.999953428131377,4.6571868621325107e-05,1.0000000911388733,0.00042693995089765959,127993.37729800868,0.21816588680052626,89.862769099810535,true
0,2,50,0.5,0.097847559045500285,2.4796839686640053e-11,9.2386459133070836e-17,3.7257352267695009e-06,2.4796932073099186e-11,49.999813713932717,0.00018628606728591192,1.0000003645527393,0.00085387650162572506,255985.73525081712,0.43633015541650588,89.725538467773006,true
0,3,50,0.75,0.097847559045500285,2.4796839686640053e-11,2.0786788407667797e-16,8.3828377609212942e-06,2.479704755452413e-11,49.999580861625525,0.00041913837447707207,1.0000008202333368,0.0012808062521120201,383976.05454243021,0.6544911877036077,89.58830837202423,true
0,4,50,1,0.097847559045500285,2.4796839686640053e-11,3.6953880094586109e-16,1.4902657177920935e-05,2.4797209225440999e-11,49.999254878245395,0.00074512175460198209,1.0000014581668977,0.0017077258024754635,511963.31591414165,0.87264736559792744,89.451079080692537,true
0,5,50,1.25,0.097847559045500285,2.4796839686640053e-11,5.7739613175981426e-16,2.328506934982128e-05,2.4797417082771811e-11,49.998835773641602,0.00116422635839957,1.0000022783341469,0.0021346317531277005,639946.50019500253,1.0907970711561965,89.31385086187791,true
0,6,50,1.5,0.097847559045500285,2.4796839686640053e-11,8.3143591921462073e-16,3.3529914687579263e-05,2.4797671122559268e-11,49.998323560476493,0.0016764395235047613,1.0000032807103052,0.0025615207048654944,767924.58832951915,1.3089386865959789,89.176623983646408,true
0,7,50,1.75,0.097847559045500285,2.4796839686640053e-11,1.1316533267586774e-15,4.5636998144097582e-05,2.4797971339966811e-11,49.997718254224822,0.0022817457751771724,1.0000044652650892,0.0029883892589684393,895896.56140694697,1.52707059433586,89.03939871402504,true
0,8,50,2,0.097847559045500285,2.4796839686640053e-11,1.4780426386850909e-15,5.9606089217950829e-05,2.4798317729278739e-11,49.99701987317281,0.002980126827191999,1.0000058319627136,0.003415234017296044,1023861.4006903955,1.745191177035621,88.902175320990054,true
0,9,50,2.25,0.097847559045500285,2.4796839686640053e-11,1.8705972602413123e-15,7.5436921957806812e-05,2.4798710283900296e-11,49.996228438417106,0.0037715615828935525,1.0000073807618934,0.0038420515823849354,1151818.0876459694,1.9632988176363961,88.764954072460029,true
0,10,50,2.5,0.097847559045500285,2.4796839686640053e-11,2.3093097177525113e-15,9.3129194967401933e-05,2.4799148996357805e-11,49.995343973863598,0.0046560261364042661,1.000009111615846,0.004268838557542811,1279765.6039709337,2.1813918994008108,88.627735236288331,true
0,11,50,2.75,0.097847559045500285,2.4796839686640053e-11,2.7941716587664999e-15,0.00011268257141138566,2.479963385829882e-11,49.994366506225994,0.0056334937740047976,1.0000110244722937,0.0046955915469477517,1407702.9316234889,2.3994688059531,88.490519080253236,true
0,12,50,3,0.097847559045500285,2.4796839686640053e-11,3.3251738522105066e-15,0.00013409667902164287,2.4800164860492263e-11,49.993296065024332,0.0067039349756655301,1.0000131192734674,0.0051223071557422372,1535629.052850954,2.6175279213192004,88.353305872051209,true
0,13,50,3.25,0.097847559045500285,2.4796839686640053e-11,3.9023061885681583e-15,0.00015737111010443109,2.4800741992828622e-11,49.992132682583254,0.007867317416746138,1.0000153959561093,0.0055489819901306334,1663542.9502189944,2.8355676299668131,88.216095879288105,true
0,14,50,3.5,0.097847559045500285,2.4796839686640053e-11,4.5255576800718121e-15,0.00018250542154813683,2.4801365244320125e-11,49.990876394030145,0.0091236059698532757,1.0000178544514768,0.0059756126574751671,1791443.6066403924,3.0535863168454407,88.078889369470502,true
0,15,50,3.75,0.097847559045500285,2.4796839686640053e-11,5.19491646091132e-15,0.00020949913483169459,2.4802034603100964e-11,49.989527237293139,0.010472762706858344,1.0000204946853466,0.0064021957663917039,1919330.0054037627,3.2715823674263884,87.941686609998285,true
0,16,50,4,0.097847559045500285,2.4796839686640053e-11,5.910369787460573e-15,0.00023835173603372286,2.4802750056427514e-11,49.988085253098923,0.011914746901077869,1.0000233165780184,0.0068287279268461716,2047201.130202458,3.489554167742734,87.804487868156045,true
0,17,50,4.25,0.097847559045500285,2.4796839686640053e-11,6.6719040385191332e-15,0.00026906267584226858,2.4803511590678572e-11,49.986550484970387,0.01344951502961078,1.0000263200443198,0.0072552057502498352,2175055.9651631322,3.707500104429251,87.667293411104595,true
0,18,50,4.5,0.097847559045500285,2.4796839686640053e-11,7.4795047155732527e-15,0.00030163136956533343,2.4804319191355626e-11,49.984922979224159,0.015077020775841091,1.0000295049936119,0.0076816258495560419,2302893.4948747442,3.9254185647623023,87.530103505873328,true
0,19,50,4.75,0.097847559045500285,2.4796839686640053e-11,8.333156443069564e-15,0.00033605719714191121,2.4805172843083122e-11,49.983202784967908,0.016797215032092087,1.000032871329793,0.0081079848393545966,2430712.7044168497,4.1433079366996797,87.392918419352043,true
0,20,50,5,0.097847559045500285,2.4796839686640053e-11,9.2328429687100355e-15,0.00037233950315388261,2.4806072529608763e-11,49.981389954097551,0.018610045902449142,1.0000364189513056,0.0085342793359684914,2558512.5793886017,4.3611666089204046,87.255738418282121,true
0,21,50,5.25,0.097847559045500285,2.4796839686640053e-11,1.0178547163759882e-14,0.00041047759683843265,2.4807018233803812e-11,49.979484541294269,0.020515458705734065,1.0000401477511411,0.0089605059575485306,2686292.1059371177,4.5789929708644781,87.118563769248979,true
0,22,50,5.5,0.097847559045500285,2.4796839686640053e-11,1.1170251023374566e-14,0.00045047075210123775,2.4808009937663428e-11,49.977486604021358,0.022513395978643037,1.0000440576168468,0.0093866613241690433,2814050.2707861722,4.7967854127725769,86.981394738673558,true
0,23,50,5.75,0.097847559045500285,2.4796839686640053e-11,1.2207935666942192e-14,0.00049231820753027405,2.4809047622306995e-11,49.975396202520962,0.02460379747904038,1.0000481484305315,0.0098127420579228047,2941786.061264656,5.0145423257256976,86.844231592804519,true
0,24,50,6,0.097847559045500285,2.4796839686640053e-11,1.3291581338442839e-14,0.00053601916641030783,2.4810131267978495e-11,49.973213399810589,0.026786600189410894,1.0000524200688732,0.010238744783015967,3069498.4653350334,5.2322621016847419,86.70707459770982,true
0,25,50,6.25,0.097847559045500285,2.4796839686640053e-11,1.4421167406824614e-14,0.00058157279673806152,2.4811260854046876e-11,49.970938261679528,0.029061738320469974,1.0000568724031256,0.010664666125862863,3197186.4716217653,5.4499431335300468,86.569924019268711,true
0,26,50,6.5,0.097847559045500285,2.4796839686640053e-11,1.5596672366397738e-14,0.00062897823123810633,2.4812436359006451e-11,49.968570856685069,0.031429143314933759,1.0000615052991251,0.011090502715181128,3324849.0694398242,5.6675838151008469,86.432780123163454,true
0,27,50,6.75,0.097847559045500285,2.4796839686640053e-11,1.6818073837241585e-14,0.00067823456737927626,2.4813657760477295e-11,49.966111256148558,0.033888743851438703,1.0000663186172996,0.011516251182085269,3452485.2488227482,5.8851825412346708,86.295643174871557,true
0,28,50,7,0.097847559045500285,2.4796839686640053e-11,1.8085348565633249e-14,0.00072934086739195251,2.4814925035205685e-11,49.963559534151372,0.036440465848627424,1.0000713122126754,0.011941908160181881,3580094.0005511837,6.102737707806682,86.158513439657327,true
0,29,50,7.25,0.097847559045500285,2.4796839686640053e-11,1.9398472424488235e-14,0.00078229615828583478,2.4816238159064542e-11,49.960915767530622,0.039084232469381384,1.0000764859348859,0.012367470285663026,3707674.3161808806,6.3202477117689364,86.021391182564088,true
0,30,50,7.5,0.097847559045500285,2.4796839686640053e-11,2.0757420413821375e-14,0.00083709943186852879,2.4817597107053873e-11,49.958180035874783,0.041819964125216463,1.0000818396281805,0.012792934197400673,3835225.188071005,6.5377109511895686,85.88427666840569,true
0,31,50,7.75,0.097847559045500285,2.4796839686640053e-11,2.2162166661221714e-14,0.00089374964476469801,2.4819001853301273e-11,49.955352421519173,0.044647578480828065,1.0000873731314328,0.013218296537040057,3962745.6094121267,6.7551258252919135,85.74717016175903,true
0,32,50,8,0.097847559045500285,2.4796839686640053e-11,2.3612684422345482e-14,0.00095224571843594388,2.4820452371062399e-11,49.952433009541203,0.047566990458793916,1.0000930862781507,0.013643553949093291,4090234.5742542846,6.9724907344935341,85.610071926955655,true
0,33,50,8.25,0.097847559045500285,2.4796839686640053e-11,2.5108946081425746e-14,0.0010125865392013583,2.482194863272148e-11,49.94942188775557,0.050578112244430991,1.0000989788964849,0.01406870308103283,4217691.0775350053,7.189804080445187,85.472982228073789,true
0,34,50,8.5,0.097847559045500285,2.4796839686640053e-11,2.6650923151797153e-14,0.0010747709582586862,2.4823490609791851e-11,49.9463191467092,0.05368085329080282,1.0001050508092397,0.014493740583384171,4345114.1151070949,7.407064266069681,85.335901328930277,true
0,35,50,8.75,0.097847559045500285,2.4796839686640053e-11,2.8238586276438984e-14,0.0011387977917062255,2.4825078272916493e-11,49.94312487967612,0.0568751203238834,1.0001113018338823,0.014918663109818951,4472502.6837665476,7.6242696956006801,85.198829493072651,true
0,36,50,9,0.097847559045500285,2.4796839686640053e-11,2.9871905228533573e-14,0.0012046658205653459,2.4826711591868587e-11,49.939839182652129,0.060160817347871043,1.0001177317825534,0.015343467317247384,4599855.7812802587,7.8414187746213901,85.061766983771264,true
0,37,50,9.25,0.097847559045500285,2.4796839686640053e-11,3.1550848912043026e-14,0.001272373790803748,2.4828390535552095e-11,49.936462154349343,0.063537845650657371,1.0001243404620785,0.015768149865910918,4727172.4064138047,8.0585099101031723,84.924714064011226,true
0,38,50,9.5,0.097847559045500285,2.4796839686640053e-11,3.327538536229945e-14,0.0013419204133592651,2.4830115072002352e-11,49.93299389619056,0.067006103809441706,1.0001311276739782,0.016192707419473922,4854451.5589589244,8.275541510444052,84.787670996484295,true
