energy_index,incident_energy_kev,alpha,incident_wavelength_pm,maximum_fractional_wavelength_shift,backscatter_scattered_energy_kev,maximum_electron_kinetic_energy_kev,maximum_electron_beta,maximum_electron_speed_m_s,electron_recoil_angle_at_90_deg,forward_recoil_angle_limit_deg,forward_recoil_direction_defined
0,50,0.097847559045500285,24.796839686640052,0.19569511809100054,41.816679890629658,8.1833201093703387,0.17684864267216224,53017889.280651204,42.329552359076011,90,false
1,100,0.19569511809100057,12.398419843320026,0.39139023618200108,71.870563268002897,28.129436731997107,0.31879338442795463,95571852.311795443,39.906872163847595,90,false
2,200,0.39139023618200114,6.1992099216600129,0.78278047236400217,112.18431158537206,87.815688414627942,0.52133714040666868,156292942.76920632,35.705015209771453,90,false
3,500,0.97847559045500276,2.4796839686640055,1.9569511809100053,169.0930858879193,330.9069141120807,0.79473622154160861,238255925.3175914,26.813843232390553,90,false
4,1000,1.9569511809100055,1.2398419843320028,3.9139023618200106,203.50424700535166,796.49575299464834,0.92046586774856121,275948724.99744409,18.684825897744254,90,false
