energy_index,incident_energy_kev,alpha,analytical_total_cross_section_barn,quadrature_total_cross_section_barn,quadrature_relative_error,forward_hemisphere_probability,modal_polar_angle_deg,mean_polar_angle_deg
0,50,0.097847559045500285,0.56150694370643373,0.56150694370642051,2.3558493178924182e-14,0.54707939434481001,50,85.377721187600457
1,100,0.19569511809100057,0.49274848763970358,0.49274848763970625,-5.4601751583069613e-15,0.58169287869921349,47,81.907394910615295
2,200,0.39139023618200114,0.40648246950972872,0.40648246950972783,2.2063215130767658e-15,0.62791413055200196,42.5,77.08706242319596
3,500,0.97847559045500276,0.28916631723203257,0.28916631723203112,4.845994781613501e-15,0.69124347783359774,35.25,69.834531776191625
4,1000,1.9569511809100055,0.21120788254426126,0.21120788254425957,7.9616259437542655e-15,0.7320943884242852,29,64.591109149697274
